Strategy,Start,End,Distance Taveled,Elapsed Time,Right Turns,Left Turns,
bfs,454.096054:270.000000:-228.623000,330.000000:270.000000:-228.623000,611.890485,20.396349,8,5,
dijkstra,454.096054:270.000000:-228.623000,310.000000:270.000000:-228.623000,616.990485,20.566349,12,2,
astar,454.096054:270.000000:-228.623000,300.000000:270.000000:-228.623000,695.093949,23.169798,11,3,
bfs,331.866420:274.200000:-225.274396,224.000000:270.000000:147.000000,765.971647,25.532388,6,5,
dfs,454.096054:270.000000:-228.623000,320.000000:270.000000:-228.623000,1477.462132,49.248738,26,30,
dijkstra,313.135651:274.200000:-226.258517,-30.000000:270.000000:-707.000000,1108.871647,36.962388,8,6,
astar,296.239366:272.803464:-228.022261,1333.000000:270.000000:423.000000,1709.968183,56.998939,2,22,
bfs,225.399280:271.926466:143.389378,-223.000000:270.000000:-229.000000,1113.300000,37.110000,12,8,
dijkstra,-26.278939:274.200000:-708.289770,-581.000000:270.000000:296.000000,1940.497207,64.683240,24,22,
astar,1329.244155:274.200000:421.990484,1261.000000:270.000000:-669.000000,1761.397207,58.713240,12,12,
bfs,-220.755946:274.200000:-232.129743,1154.000000:270.000000:-553.000000,1973.197207,65.773240,1,20,
dijkstra,-584.188313:273.202793:294.062728,-891.000000:270.000000:-50.000000,927.300000,30.910000,22,10,
dijkstra,-890.720693:274.200000:-46.273027,-797.000000:270.000000:-13.000000,396.600000,13.220000,1,5,
bfs,1150.717201:274.200000:-550.864932,1323.000000:270.000000:253.000000,1534.800000,51.160000,11,12,
dijkstra,-795.635799:274.200003:-9.296692,-852.000000:270.000000:-537.000000,1163.400000,38.780000,24,9,
astar,1257.818285:274.200000:-667.031990,-277.000000:270.000000:668.000000,3803.254307,126.775144,33,32,
dijkstra,-850.572170:274.200000:-533.431676,829.000000:270.000000:-553.000000,3024.210623,100.807021,11,22,
bfs,1320.154599:274.200000:255.727995,-1193.000000:270.000000:518.000000,3456.810623,115.227021,25,8,
astar,-279.872425:274.200000:670.616474,118.000000:270.000000:-238.000000,2444.156316,81.471877,24,27,
bfs,-1191.144367:274.200000:521.204559,-603.000000:270.000000:349.000000,1037.400000,34.580000,4,11,
dijkstra,831.871106:274.200000:-550.516505,-155.000000:270.000000:-253.000000,1667.100000,55.570000,16,7,
astar,121.710517:274.200000:-238.123992,788.000000:270.000000:-616.000000,1245.604501,41.520150,1,21,
astar,784.634477:274.200000:-618.104282,905.000000:270.000000:24.000000,1087.800000,36.260000,6,6,
dijkstra,-158.713798:274.200000:-253.323818,328.000000:270.000000:541.000000,2095.804501,69.860150,13,11,
bfs,-603.939954:274.200000:352.730649,316.000000:270.000000:9.000000,2689.504501,89.650150,18,16,
bfs,319.380714:274.200000:10.617129,1104.000000:270.000000:-59.000000,1204.800000,40.160000,4,20,
dijkstra,325.508622:274.200000:543.964506,459.000000:270.000000:78.000000,2740.988370,91.366279,10,30,
astar,905.936839:274.200000:24.453081,-1364.000000:270.000000:-443.000000,2980.088370,99.336279,44,3,
dijkstra,455.252589:274.200000:79.025438,429.000000:270.000000:409.000000,944.700000,31.490000,19,9,
bfs,1103.430094:274.200000:-55.057485,-1199.000000:270.000000:-127.000000,2911.464509,97.048817,23,8,
astar,-1361.593362:274.200000:-440.080008,318.000000:270.000000:613.000000,2546.476139,84.882538,2,22,
dijkstra,427.746397:274.200000:412.777899,-1177.000000:270.000000:-500.000000,2546.459968,84.881999,47,13,
bfs,-1202.773729:273.566969:-126.855288,12.000000:270.000000:-297.000000,1978.483828,65.949461,8,18,
dijkstra,-1173.419159:274.200000:-498.885939,-1184.000000:270.000000:-166.000000,801.600000,26.720000,4,6,
dijkstra,-1187.099249:274.200000:-163.705068,-746.000000:270.000000:-400.000000,836.032539,27.867751,0,7,
bfs,13.351221:274.200000:-300.061377,888.000000:270.000000:-190.000000,1541.632539,51.387751,4,15,
astar,314.551289:274.200000:611.197054,339.000000:270.000000:-455.000000,2715.816367,90.527212,7,19,
astar,342.532371:274.200000:-453.534517,195.000000:270.000000:-539.000000,451.800000,15.060000,2,1,
bfs,887.318218:274.200000:-188.606265,711.000000:270.000000:-289.000000,641.700000,21.390000,10,3,
astar,194.615011:274.200120:-535.021724,-52.000000:270.000000:-765.000000,657.889230,21.929641,3,1,
bfs,714.526304:274.200000:-290.231713,1073.000000:270.000000:-595.000000,820.789230,27.359641,1,10,
dijkstra,-749.655930:274.200000:-401.543653,65.000000:270.000000:97.000000,2033.989230,67.799641,24,33,
dijkstra,68.871917:274.200000:97.828824,152.000000:270.000000:164.000000,368.100000,12.270000,1,7,
bfs,1069.612309:274.200000:-593.091799,670.000000:270.000000:213.000000,1394.100000,46.470000,9,4,
astar,-49.433247:274.210770:-762.300043,849.000000:270.000000:333.000000,1845.000000,61.500000,6,12,
